brake,tratio,ratio
0.005114943,0.491091954,0.15454023
0.000729167,0.973854167,0.0496875
0,1,0
0,0,0
0,0,0
0,1,0.026444444
0,1,0.033444444
0,1,0.027380952
0,0.958333333,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.926666667,0
0,0,0
0,1,0.032878788
0,1,0.042291667
0,1,0.029619048
0.000128205,0.993782051,0.065769231
0,0,0
0,0,0
0,0,0
0.000833333,0.996944444,0.098055556
0.000201149,0.986149425,0.046034483
0,0,0
0.000333333,0.991952381,0.027857143
0,0,0
0.000833333,0.939722222,0.089166667
0,0,0
0,1,0.022380952
0.001333333,0.996166667,0.258
0.012115385,0.47625,0.182788462
0,0,0
0.010079365,0.358095238,0.186031746
0.008652482,0.415212766,0.155957447
