time,CTPCBC_制动_空压机组1运行,CTPCBC_制动_空压机组2运行,BC1CT_制动_A1车B1架制动施加
2020-07-16 21:01:01.655,0.0,0.0,1.0
2020-07-16 21:01:02.254,0.0,0.0,1.0
2020-07-16 21:01:02.404,0.0,0.0,1.0
2020-07-16 21:01:02.999,0.0,0.0,1.0
2020-07-16 21:01:03.171,0.0,0.0,1.0
2020-07-16 21:01:03.756,0.0,0.0,1.0
2020-07-16 21:01:03.908,0.0,0.0,1.0
2020-07-16 21:01:04.491,0.0,0.0,1.0
2020-07-16 21:01:04.642,0.0,0.0,1.0
2020-07-16 21:01:05.295,0.0,0.0,1.0
2020-07-16 21:01:05.408,0.0,0.0,1.0
2020-07-16 21:01:06.011,0.0,0.0,1.0
2020-07-16 21:01:06.143,0.0,0.0,1.0
2020-07-16 21:01:06.743,0.0,0.0,1.0
2020-07-16 21:01:06.936,0.0,0.0,1.0
2020-07-16 21:01:07.488,0.0,0.0,1.0
2020-07-16 21:01:07.645,0.0,0.0,1.0
2020-07-16 21:01:08.280,0.0,0.0,1.0
2020-07-16 21:01:08.392,0.0,0.0,1.0
2020-07-16 21:01:08.991,0.0,0.0,1.0
2020-07-16 21:01:09.166,0.0,0.0,1.0
2020-07-16 21:01:09.725,0.0,0.0,1.0
2020-07-16 21:01:09.905,0.0,0.0,1.0
2020-07-16 21:01:10.480,0.0,0.0,1.0
2020-07-16 21:01:10.628,0.0,0.0,1.0
2020-07-16 21:01:11.236,0.0,0.0,1.0
2020-07-16 21:01:11.387,0.0,0.0,1.0
2020-07-16 21:01:11.990,0.0,0.0,1.0
2020-07-16 21:01:12.159,0.0,0.0,1.0
2020-07-16 21:01:12.766,0.0,0.0,1.0
2020-07-16 21:01:12.915,0.0,0.0,1.0
2020-07-16 21:01:13.493,0.0,0.0,1.0
2020-07-16 21:01:13.672,0.0,0.0,1.0
2020-07-16 21:01:14.252,0.0,0.0,1.0
2020-07-16 21:01:14.406,0.0,0.0,1.0
2020-07-16 21:01:15.012,0.0,0.0,1.0
2020-07-16 21:01:15.160,0.0,0.0,1.0
2020-07-16 21:01:15.757,0.0,0.0,1.0
2020-07-16 21:01:15.902,0.0,0.0,1.0
2020-07-16 21:01:16.495,0.0,0.0,1.0
2020-07-16 21:01:16.646,0.0,0.0,1.0
2020-07-16 21:01:17.257,0.0,0.0,1.0
2020-07-16 21:01:17.390,0.0,0.0,1.0
2020-07-16 21:01:17.994,0.0,0.0,1.0
2020-07-16 21:01:18.135,0.0,0.0,1.0
2020-07-16 21:01:18.776,0.0,0.0,1.0
2020-07-16 21:01:18.890,0.0,0.0,1.0
2020-07-16 21:01:19.505,0.0,0.0,1.0
2020-07-16 21:01:19.646,0.0,0.0,1.0
2020-07-16 21:01:20.244,0.0,0.0,1.0
2020-07-16 21:01:20.403,0.0,0.0,1.0
2020-07-16 21:01:20.993,0.0,0.0,1.0
2020-07-16 21:01:21.170,0.0,0.0,1.0
2020-07-16 21:01:21.743,0.0,0.0,1.0
2020-07-16 21:01:21.885,0.0,0.0,1.0
2020-07-16 21:01:22.491,0.0,0.0,1.0
2020-07-16 21:01:22.631,0.0,0.0,1.0
2020-07-16 21:01:23.251,0.0,0.0,1.0
2020-07-16 21:01:23.404,0.0,0.0,1.0
2020-07-16 21:01:23.990,0.0,0.0,1.0
2020-07-16 21:01:24.170,0.0,0.0,1.0
2020-07-16 21:01:24.738,0.0,0.0,1.0
2020-07-16 21:01:24.897,0.0,0.0,1.0
2020-07-16 21:01:25.510,0.0,0.0,1.0
2020-07-16 21:01:25.663,0.0,0.0,1.0
2020-07-16 21:01:26.259,0.0,0.0,1.0
2020-07-16 21:01:26.389,0.0,0.0,1.0
2020-07-16 21:01:27.019,0.0,0.0,1.0
2020-07-16 21:01:27.155,0.0,0.0,1.0
2020-07-16 21:01:27.748,0.0,0.0,1.0
2020-07-16 21:01:27.888,0.0,0.0,1.0
2020-07-16 21:01:28.505,0.0,0.0,1.0
2020-07-16 21:01:28.675,0.0,0.0,1.0
2020-07-16 21:01:29.241,0.0,0.0,1.0
2020-07-16 21:01:29.390,0.0,0.0,1.0
2020-07-16 21:01:30.005,0.0,0.0,1.0
2020-07-16 21:01:30.155,0.0,0.0,1.0
2020-07-16 21:01:30.746,0.0,0.0,1.0
2020-07-16 21:01:30.889,0.0,0.0,1.0
2020-07-16 21:01:31.491,0.0,0.0,1.0
2020-07-16 21:01:31.653,0.0,0.0,1.0
2020-07-16 21:01:32.250,0.0,0.0,1.0
2020-07-16 21:01:32.419,0.0,0.0,1.0
2020-07-16 21:01:33.008,0.0,0.0,1.0
2020-07-16 21:01:33.163,0.0,0.0,1.0
2020-07-16 21:01:33.740,0.0,0.0,1.0
2020-07-16 21:01:33.886,0.0,0.0,1.0
2020-07-16 21:01:34.491,0.0,0.0,1.0
2020-07-16 21:01:34.661,0.0,0.0,1.0
2020-07-16 21:01:35.261,0.0,0.0,1.0
2020-07-16 21:01:35.441,0.0,0.0,1.0
2020-07-16 21:01:36.021,0.0,0.0,1.0
2020-07-16 21:01:36.158,0.0,0.0,1.0
2020-07-16 21:01:36.733,0.0,0.0,1.0
2020-07-16 21:01:36.893,0.0,0.0,1.0
2020-07-16 21:01:37.494,0.0,0.0,1.0
2020-07-16 21:01:37.662,0.0,0.0,1.0
2020-07-16 21:01:38.258,0.0,0.0,1.0
2020-07-16 21:01:38.426,0.0,0.0,1.0
2020-07-16 21:01:39.004,0.0,0.0,1.0
2020-07-16 21:01:39.185,0.0,0.0,1.0
2020-07-16 21:01:39.739,0.0,0.0,1.0
2020-07-16 21:01:39.914,0.0,0.0,1.0
2020-07-16 21:01:40.504,0.0,0.0,1.0
2020-07-16 21:01:40.643,0.0,0.0,1.0
2020-07-16 21:01:41.238,0.0,0.0,1.0
2020-07-16 21:01:41.433,0.0,0.0,1.0
2020-07-16 21:01:42.011,0.0,0.0,1.0
2020-07-16 21:01:42.175,0.0,0.0,1.0
2020-07-16 21:01:42.746,0.0,0.0,1.0
2020-07-16 21:01:42.902,0.0,0.0,1.0
2020-07-16 21:01:43.500,0.0,0.0,1.0
2020-07-16 21:01:43.666,0.0,0.0,1.0
2020-07-16 21:01:44.246,0.0,0.0,1.0
2020-07-16 21:01:44.414,0.0,0.0,1.0
2020-07-16 21:01:44.998,0.0,0.0,1.0
2020-07-16 21:01:45.177,0.0,0.0,1.0
2020-07-16 21:01:45.742,0.0,0.0,1.0
2020-07-16 21:01:45.920,0.0,0.0,1.0
2020-07-16 21:01:46.495,0.0,0.0,1.0
2020-07-16 21:01:46.669,0.0,0.0,1.0
2020-07-16 21:01:47.260,0.0,0.0,1.0
2020-07-16 21:01:47.390,0.0,0.0,1.0
2020-07-16 21:01:48.024,0.0,0.0,1.0
2020-07-16 21:01:48.157,0.0,0.0,1.0
2020-07-16 21:01:48.740,0.0,0.0,1.0
2020-07-16 21:01:48.915,0.0,0.0,1.0
2020-07-16 21:01:49.507,0.0,0.0,1.0
2020-07-16 21:01:49.653,0.0,0.0,1.0
2020-07-16 21:01:50.251,0.0,0.0,1.0
2020-07-16 21:01:50.395,0.0,0.0,1.0
2020-07-16 21:01:50.985,0.0,0.0,1.0
2020-07-16 21:01:51.165,0.0,0.0,1.0
2020-07-16 21:01:51.770,0.0,0.0,1.0
2020-07-16 21:01:51.934,0.0,0.0,1.0
2020-07-16 21:01:52.488,0.0,0.0,1.0
2020-07-16 21:01:52.644,0.0,0.0,1.0
2020-07-16 21:01:53.252,0.0,0.0,1.0
2020-07-16 21:01:53.420,0.0,0.0,1.0
2020-07-16 21:01:53.998,0.0,0.0,1.0
2020-07-16 21:01:54.155,0.0,0.0,1.0
2020-07-16 21:01:54.740,0.0,0.0,1.0
2020-07-16 21:01:54.925,0.0,0.0,1.0
2020-07-16 21:01:55.498,0.0,0.0,1.0
2020-07-16 21:01:55.644,0.0,0.0,1.0
2020-07-16 21:01:56.256,0.0,0.0,1.0
2020-07-16 21:01:56.430,0.0,0.0,1.0
2020-07-16 21:01:56.995,0.0,0.0,1.0
2020-07-16 21:01:57.155,0.0,0.0,1.0
2020-07-16 21:01:57.765,0.0,0.0,1.0
2020-07-16 21:01:57.941,0.0,0.0,1.0
2020-07-16 21:01:58.522,0.0,0.0,1.0
2020-07-16 21:01:58.691,0.0,0.0,1.0
2020-07-16 21:01:59.250,0.0,0.0,1.0
2020-07-16 21:01:59.405,0.0,0.0,1.0
2020-07-16 21:01:59.986,0.0,0.0,1.0
2020-07-16 21:02:00.155,0.0,0.0,1.0
2020-07-16 21:02:00.745,0.0,0.0,1.0
2020-07-16 21:02:00.929,0.0,0.0,1.0
2020-07-16 21:02:01.503,0.0,0.0,1.0
2020-07-16 21:02:01.644,0.0,0.0,1.0
2020-07-16 21:02:02.254,0.0,0.0,1.0
2020-07-16 21:02:02.399,0.0,0.0,1.0
2020-07-16 21:02:02.998,0.0,0.0,1.0
2020-07-16 21:02:03.155,0.0,0.0,1.0
2020-07-16 21:02:03.755,0.0,0.0,1.0
2020-07-16 21:02:03.892,0.0,0.0,1.0
2020-07-16 21:02:04.535,0.0,0.0,1.0
2020-07-16 21:02:04.659,0.0,0.0,1.0
2020-07-16 21:02:05.236,0.0,0.0,1.0
2020-07-16 21:02:05.414,0.0,0.0,1.0
2020-07-16 21:02:06.005,0.0,0.0,1.0
2020-07-16 21:02:06.149,0.0,0.0,1.0
2020-07-16 21:02:06.759,0.0,0.0,1.0
2020-07-16 21:02:06.908,0.0,0.0,1.0
2020-07-16 21:02:07.478,0.0,0.0,1.0
2020-07-16 21:02:07.653,0.0,0.0,1.0
2020-07-16 21:02:08.256,0.0,0.0,1.0
2020-07-16 21:02:08.432,0.0,0.0,1.0
2020-07-16 21:02:08.996,0.0,0.0,1.0
2020-07-16 21:02:09.151,0.0,0.0,1.0
2020-07-16 21:02:09.755,0.0,0.0,1.0
2020-07-16 21:02:09.894,0.0,0.0,1.0
2020-07-16 21:02:10.475,0.0,0.0,1.0
2020-07-16 21:02:10.657,0.0,0.0,1.0
2020-07-16 21:02:11.255,0.0,0.0,1.0
2020-07-16 21:02:11.399,0.0,0.0,1.0
2020-07-16 21:02:11.991,0.0,0.0,1.0
2020-07-16 21:02:12.148,0.0,0.0,1.0
2020-07-16 21:02:12.725,0.0,0.0,1.0
2020-07-16 21:02:12.908,0.0,0.0,1.0
2020-07-16 21:02:13.510,0.0,0.0,1.0
2020-07-16 21:02:13.669,0.0,0.0,1.0
2020-07-16 21:02:14.248,0.0,0.0,1.0
2020-07-16 21:02:14.417,0.0,0.0,1.0
2020-07-16 21:02:14.996,0.0,0.0,1.0
2020-07-16 21:02:15.166,0.0,0.0,1.0
2020-07-16 21:02:15.750,0.0,0.0,1.0
2020-07-16 21:02:15.904,0.0,0.0,1.0
2020-07-16 21:02:16.505,0.0,0.0,1.0
2020-07-16 21:02:16.652,0.0,0.0,1.0
2020-07-16 21:02:17.239,0.0,0.0,1.0
2020-07-16 21:02:17.425,0.0,0.0,1.0
2020-07-16 21:02:18.014,0.0,0.0,1.0
2020-07-16 21:02:18.145,0.0,0.0,1.0
2020-07-16 21:02:18.748,0.0,0.0,1.0
2020-07-16 21:02:18.892,0.0,0.0,1.0
2020-07-16 21:02:19.493,0.0,0.0,1.0
2020-07-16 21:02:19.639,0.0,0.0,1.0
2020-07-16 21:02:20.259,0.0,0.0,1.0
2020-07-16 21:02:20.418,0.0,0.0,1.0
2020-07-16 21:02:21.008,0.0,0.0,1.0
2020-07-16 21:02:21.228,0.0,0.0,1.0
2020-07-16 21:02:21.741,0.0,0.0,1.0
2020-07-16 21:02:21.889,0.0,0.0,1.0
2020-07-16 21:02:22.489,0.0,0.0,1.0
2020-07-16 21:02:22.657,0.0,0.0,1.0
2020-07-16 21:02:23.236,0.0,0.0,1.0
2020-07-16 21:02:23.394,0.0,0.0,1.0
2020-07-16 21:02:23.981,0.0,0.0,1.0
2020-07-16 21:02:24.143,0.0,0.0,1.0
2020-07-16 21:02:24.735,0.0,0.0,1.0
2020-07-16 21:02:24.915,0.0,0.0,1.0
2020-07-16 21:02:25.512,0.0,0.0,1.0
2020-07-16 21:02:25.671,0.0,0.0,1.0
2020-07-16 21:02:26.266,0.0,0.0,1.0
2020-07-16 21:02:26.424,0.0,0.0,1.0
2020-07-16 21:02:27.011,0.0,0.0,1.0
